,omicron
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,0.0
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-08,0.0
2021-07-09,0.0
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-07-31,0.0
2021-08-01,0.0
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,0.0
2021-08-06,0.0
2021-08-07,0.0
2021-08-08,0.0
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,0.0
2021-08-17,0.0
2021-08-18,0.0
2021-08-19,0.0
2021-08-20,0.0
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,4e-06
2021-10-13,1.4e-05
2021-10-14,3e-05
2021-10-15,5.1e-05
2021-10-16,7.5e-05
2021-10-17,0.000101
2021-10-18,0.000128
2021-10-19,0.000155
2021-10-20,0.000182
2021-10-21,0.000206
2021-10-22,0.000226
2021-10-23,0.000242
2021-10-24,0.000253
2021-10-25,0.000256
2021-10-26,0.000253
2021-10-27,0.000242
2021-10-28,0.000226
2021-10-29,0.000206
2021-10-30,0.000182
2021-10-31,0.000155
2021-11-01,0.000128
2021-11-02,0.000101
2021-11-03,7.5e-05
2021-11-04,5.1e-05
2021-11-05,3e-05
2021-11-06,1.4e-05
2021-11-07,4e-06
2021-11-08,0.0
2021-11-09,1e-06
2021-11-10,6e-06
2021-11-11,1.3e-05
2021-11-12,2.2e-05
2021-11-13,3.5e-05
2021-11-14,5e-05
2021-11-15,6.7e-05
2021-11-16,8.7e-05
2021-11-17,0.000109
2021-11-18,0.000134
2021-11-19,0.000161
2021-11-20,0.000191
2021-11-21,0.000222
2021-11-22,0.000256
2021-11-23,0.000315
2021-11-24,0.000422
2021-11-25,0.000577
2021-11-26,0.000781
2021-11-27,0.001034
2021-11-28,0.001338
2021-11-29,0.001692
2021-11-30,0.002098
2021-12-01,0.002555
2021-12-02,0.003065
2021-12-03,0.003628
2021-12-04,0.004244
2021-12-05,0.004914
2021-12-06,0.00564
2021-12-07,0.008233
2021-12-08,0.014312
2021-12-09,0.023584
2021-12-10,0.035754
2021-12-11,0.050529
2021-12-12,0.067614
2021-12-13,0.086717
2021-12-14,0.107543
2021-12-15,0.129799
2021-12-16,0.153191
2021-12-17,0.177425
2021-12-18,0.202207
2021-12-19,0.227245
2021-12-20,0.252243
2021-12-21,0.281358
2021-12-22,0.318021
2021-12-23,0.360854
2021-12-24,0.408481
2021-12-25,0.459521
2021-12-26,0.512599
2021-12-27,0.566334
2021-12-28,0.61935
2021-12-29,0.670269
2021-12-30,0.717712
2021-12-31,0.760302
2022-01-01,0.796659
2022-01-02,0.825407
2022-01-03,0.845168
2022-01-04,0.859583
2022-01-05,0.873208
2022-01-06,0.88603
2022-01-07,0.898037
2022-01-08,0.909219
2022-01-09,0.919563
2022-01-10,0.929058
2022-01-11,0.937693
2022-01-12,0.945455
2022-01-13,0.952333
2022-01-14,0.958316
2022-01-15,0.963392
2022-01-16,0.96755
2022-01-17,0.970777
2022-01-18,0.973456
2022-01-19,0.975978
2022-01-20,0.978342
2022-01-21,0.980545
2022-01-22,0.982588
2022-01-23,0.984469
2022-01-24,0.986188
2022-01-25,0.987744
2022-01-26,0.989135
2022-01-27,0.990361
2022-01-28,0.99142
2022-01-29,0.992312
2022-01-30,0.993036
2022-01-31,0.993591
2022-02-01,0.994048
2022-02-02,0.994479
2022-02-03,0.994883
2022-02-04,0.99526
2022-02-05,0.99561
2022-02-06,0.995931
2022-02-07,0.996224
2022-02-08,0.996487
2022-02-09,0.996722
2022-02-10,0.996926
2022-02-11,0.9971
2022-02-12,0.997244
2022-02-13,0.997356
2022-02-14,0.997437
2022-02-15,0.9975
2022-02-16,0.99756
2022-02-17,0.997617
2022-02-18,0.99767
2022-02-19,0.99772
2022-02-20,0.997765
2022-02-21,0.997806
2022-02-22,0.997842
2022-02-23,0.997874
2022-02-24,0.9979
2022-02-25,0.997921
2022-02-26,0.997937
2022-02-27,0.997946
2022-02-28,0.997949
2022-03-01,0.997931
2022-03-02,0.997878
2022-03-03,0.997798
2022-03-04,0.997695
2022-03-05,0.997576
2022-03-06,0.997445
2022-03-07,0.997308
2022-03-08,0.997172
2022-03-09,0.997041
2022-03-10,0.996922
2022-03-11,0.996819
2022-03-12,0.996739
2022-03-13,0.996686
2022-03-14,0.996668
2022-03-15,0.996671
2022-03-16,0.996682
2022-03-17,0.996698
2022-03-18,0.996718
2022-03-19,0.996742
2022-03-20,0.996768
2022-03-21,0.996796
2022-03-22,0.996823
2022-03-23,0.996849
2022-03-24,0.996873
2022-03-25,0.996894
2022-03-26,0.99691
2022-03-27,0.99692
2022-03-28,0.996924
2022-03-29,0.996917
2022-03-30,0.996897
2022-03-31,0.996865
2022-04-01,0.996823
2022-04-02,0.996772
2022-04-03,0.996713
2022-04-04,0.996649
2022-04-05,0.996581
2022-04-06,0.996509
2022-04-07,0.996435
2022-04-08,0.996362
2022-04-09,0.99629
2022-04-10,0.99622
2022-04-11,0.996155
2022-04-12,0.996086
2022-04-13,0.996006
2022-04-14,0.995917
2022-04-15,0.995823
2022-04-16,0.995726
2022-04-17,0.995628
2022-04-18,0.995532
2022-04-19,0.995441
2022-04-20,0.995356
2022-04-21,0.995281
2022-04-22,0.995219
2022-04-23,0.995171
2022-04-24,0.99514
2022-04-25,0.995129
2022-04-26,0.995133
2022-04-27,0.995144
2022-04-28,0.99516
2022-04-29,0.99518
2022-04-30,0.995204
2022-05-01,0.99523
2022-05-02,0.995258
2022-05-03,0.995285
2022-05-04,0.995311
2022-05-05,0.995335
2022-05-06,0.995356
2022-05-07,0.995372
2022-05-08,0.995382
2022-05-09,0.995386
2022-05-10,0.995378
2022-05-11,0.995357
2022-05-12,0.995325
2022-05-13,0.995284
2022-05-14,0.995236
2022-05-15,0.995184
2022-05-16,0.995129
2022-05-17,0.995075
2022-05-18,0.995023
2022-05-19,0.994975
2022-05-20,0.994934
2022-05-21,0.994902
2022-05-22,0.994881
2022-05-23,0.994873
2022-05-24,0.994886
2022-05-25,0.994922
2022-05-26,0.994978
2022-05-27,0.995052
2022-05-28,0.995142
2022-05-29,0.995243
2022-05-30,0.995354
2022-05-31,0.995471
2022-06-01,0.995592
2022-06-02,0.995714
2022-06-03,0.995834
2022-06-04,0.995949
2022-06-05,0.996057
2022-06-06,0.996155
2022-06-07,0.996247
2022-06-08,0.99634
2022-06-09,0.996435
2022-06-10,0.996529
2022-06-11,0.996624
2022-06-12,0.996719
2022-06-13,0.996813
2022-06-14,0.996907
2022-06-15,0.997
2022-06-16,0.997091
2022-06-17,0.997181
2022-06-18,0.997268
2022-06-19,0.997354
2022-06-20,0.997437
2022-06-21,0.99752
2022-06-22,0.997606
2022-06-23,0.997694
2022-06-24,0.997782
2022-06-25,0.99787
2022-06-26,0.997957
2022-06-27,0.99804
2022-06-28,0.998121
2022-06-29,0.998196
2022-06-30,0.998265
2022-07-01,0.998328
2022-07-02,0.998382
2022-07-03,0.998427
2022-07-04,0.998462
2022-07-05,0.998491
2022-07-06,0.998519
2022-07-07,0.998546
2022-07-08,0.998573
2022-07-09,0.998597
2022-07-10,0.99862
2022-07-11,0.998641
2022-07-12,0.99866
2022-07-13,0.998677
2022-07-14,0.998691
2022-07-15,0.998703
2022-07-16,0.998711
2022-07-17,0.998716
2022-07-18,0.998718
2022-07-19,0.998718
2022-07-20,0.998718
2022-07-21,0.998718
2022-07-22,0.998718
2022-07-23,0.998718
2022-07-24,0.998718
2022-07-25,0.998718
2022-07-26,0.998718
2022-07-27,0.998718
2022-07-28,0.998718
2022-07-29,0.998718
2022-07-30,0.998718
2022-07-31,0.998718
2022-08-01,0.998718
2022-08-02,0.998718
2022-08-03,0.998718
2022-08-04,0.998718
2022-08-05,0.998718
2022-08-06,0.998718
2022-08-07,0.998718
2022-08-08,0.998718
2022-08-09,0.998718
2022-08-10,0.998718
2022-08-11,0.998718
2022-08-12,0.998718
2022-08-13,0.998718
2022-08-14,0.998718
2022-08-15,0.998718
2022-08-16,0.998716
2022-08-17,0.99871
2022-08-18,0.998701
2022-08-19,0.998688
2022-08-20,0.998672
2022-08-21,0.998654
2022-08-22,0.998634
2022-08-23,0.998612
2022-08-24,0.998588
2022-08-25,0.998564
2022-08-26,0.998539
2022-08-27,0.998513
2022-08-28,0.998487
2022-08-29,0.998462
2022-08-30,0.998436
2022-08-31,0.998409
2022-09-01,0.99838
2022-09-02,0.998349
2022-09-03,0.998317
2022-09-04,0.998283
2022-09-05,0.998247
2022-09-06,0.99821
2022-09-07,0.998171
2022-09-08,0.99813
2022-09-09,0.998088
2022-09-10,0.998043
2022-09-11,0.997997
2022-09-12,0.997949
2022-09-13,0.99791
2022-09-14,0.997889
2022-09-15,0.997883
2022-09-16,0.99789
2022-09-17,0.997909
2022-09-18,0.997937
2022-09-19,0.997971
2022-09-20,0.998009
2022-09-21,0.99805
2022-09-22,0.99809
2022-09-23,0.998128
2022-09-24,0.998162
2022-09-25,0.998188
2022-09-26,0.998206
2022-09-27,0.998204
2022-09-28,0.998176
2022-09-29,0.998125
2022-09-30,0.998054
2022-10-01,0.997967
2022-10-02,0.997865
2022-10-03,0.997753
2022-10-04,0.997633
2022-10-05,0.997509
2022-10-06,0.997383
2022-10-07,0.997258
2022-10-08,0.997138
2022-10-09,0.997026
2022-10-10,0.996924
2022-10-11,0.996845
2022-10-12,0.996798
2022-10-13,0.996778
2022-10-14,0.99678
2022-10-15,0.996802
2022-10-16,0.996839
2022-10-17,0.996887
2022-10-18,0.996941
2022-10-19,0.996998
2022-10-20,0.997054
2022-10-21,0.997104
2022-10-22,0.997144
2022-10-23,0.997171
2022-10-24,0.99718
2022-10-25,0.997186
2022-10-26,0.997204
2022-10-27,0.997232
2022-10-28,0.997266
2022-10-29,0.997305
2022-10-30,0.997347
2022-10-31,0.997387
2022-11-01,0.997424
2022-11-02,0.997456
2022-11-03,0.997479
2022-11-04,0.997491
2022-11-05,0.99749
2022-11-06,0.997473
2022-11-07,0.997437
2022-11-08,0.997408
2022-11-09,0.99741
2022-11-10,0.997436
2022-11-11,0.99748
2022-11-12,0.997534
2022-11-13,0.997593
2022-11-14,0.99765
2022-11-15,0.997698
2022-11-16,0.997731
2022-11-17,0.997742
2022-11-18,0.997725
2022-11-19,0.997672
2022-11-20,0.997579
2022-11-21,0.997437
2022-11-22,0.997319
2022-11-23,0.99729
2022-11-24,0.99733
2022-11-25,0.99742
2022-11-26,0.997542
2022-11-27,0.997676
2022-11-28,0.997804
2022-11-29,0.997906
2022-11-30,0.997964
2022-12-01,0.997959
2022-12-02,0.997871
2022-12-03,0.997682
2022-12-04,0.997373
2022-12-05,0.996924
2022-12-06,0.996548
2022-12-07,0.996437
2022-12-08,0.996538
2022-12-09,0.996799
2022-12-10,0.99717
2022-12-11,0.997599
2022-12-12,0.998034
2022-12-13,0.998424
2022-12-14,0.998716
2022-12-15,0.998861
2022-12-16,0.998805
2022-12-17,0.998498
2022-12-18,0.997888
2022-12-19,0.996924
2022-12-20,0.995839
2022-12-21,0.994905
2022-12-22,0.994123
2022-12-23,0.993495
2022-12-24,0.993024
2022-12-25,0.992711
2022-12-26,0.992558
2022-12-27,0.992568
2022-12-28,0.992742
2022-12-29,0.993083
2022-12-30,0.993593
2022-12-31,0.994274
2023-01-01,0.995127
2023-01-02,0.996155
2023-01-03,0.997104
2023-01-04,0.997745
2023-01-05,0.998116
2023-01-06,0.998256
2023-01-07,0.998202
2023-01-08,0.997995
2023-01-09,0.997671
2023-01-10,0.99727
2023-01-11,0.996829
2023-01-12,0.996388
2023-01-13,0.995985
2023-01-14,0.995658
2023-01-15,0.995445
2023-01-16,0.995386
2023-01-17,0.995415
2023-01-18,0.995444
2023-01-19,0.995475
2023-01-20,0.995511
2023-01-21,0.995554
2023-01-22,0.995606
2023-01-23,0.995671
2023-01-24,0.99575
2023-01-25,0.995846
2023-01-26,0.995962
2023-01-27,0.996099
2023-01-28,0.996261
2023-01-29,0.99645
2023-01-30,0.996668
2023-01-31,0.99685
2023-02-01,0.99694
2023-02-02,0.996952
2023-02-03,0.9969
2023-02-04,0.996797
2023-02-05,0.996658
2023-02-06,0.996496
2023-02-07,0.996325
2023-02-08,0.99616
2023-02-09,0.996013
2023-02-10,0.9959
2023-02-11,0.995834
2023-02-12,0.995829
2023-02-13,0.995898
2023-02-14,0.996013
2023-02-15,0.996133
2023-02-16,0.996255
2023-02-17,0.996378
2023-02-18,0.9965
2023-02-19,0.996617
2023-02-20,0.99673
2023-02-21,0.996834
2023-02-22,0.996929
2023-02-23,0.997011
2023-02-24,0.99708
2023-02-25,0.997132
2023-02-26,0.997166
2023-02-27,0.99718
2023-02-28,0.997172
2023-03-01,0.997145
2023-03-02,0.997101
2023-03-03,0.997046
2023-03-04,0.996983
2023-03-05,0.996915
2023-03-06,0.996847
2023-03-07,0.996782
2023-03-08,0.996724
2023-03-09,0.996676
2023-03-10,0.996643
2023-03-11,0.996628
2023-03-12,0.996635
2023-03-13,0.996668
2023-03-14,0.996726
2023-03-15,0.996804
2023-03-16,0.996898
2023-03-17,0.997003
2023-03-18,0.997114
2023-03-19,0.997228
2023-03-20,0.99734
2023-03-21,0.997445
2023-03-22,0.997539
2023-03-23,0.997618
2023-03-24,0.997678
2023-03-25,0.997713
2023-03-26,0.997719
2023-03-27,0.997693
2023-03-28,0.997664
2023-03-29,0.997662
2023-03-30,0.99768
2023-03-31,0.997713
2023-04-01,0.997753
2023-04-02,0.997795
2023-04-03,0.997833
2023-04-04,0.997859
2023-04-05,0.997869
2023-04-06,0.997854
2023-04-07,0.99781
2023-04-08,0.99773
2023-04-09,0.997608
2023-04-10,0.997437
2023-04-11,0.997246
2023-04-12,0.997069
2023-04-13,0.996907
2023-04-14,0.99676
2023-04-15,0.996627
2023-04-16,0.99651
2023-04-17,0.996408
2023-04-18,0.996323
2023-04-19,0.996253
2023-04-20,0.996199
2023-04-21,0.996163
2023-04-22,0.996143
2023-04-23,0.99614
2023-04-24,0.996155
2023-04-25,0.996219
2023-04-26,0.996355
2023-04-27,0.996545
2023-04-28,0.996774
2023-04-29,0.997026
2023-04-30,0.997285
2023-05-01,0.997535
2023-05-02,0.99776
2023-05-03,0.997944
2023-05-04,0.998071
2023-05-05,0.998126
2023-05-06,0.998092
2023-05-07,0.997953
2023-05-08,0.997693
2023-05-09,0.997387
2023-05-10,0.997118
2023-05-11,0.996885
2023-05-12,0.996685
2023-05-13,0.996518
2023-05-14,0.996381
2023-05-15,0.996272
2023-05-16,0.99619
2023-05-17,0.996133
2023-05-18,0.996098
2023-05-19,0.996085
2023-05-20,0.996091
2023-05-21,0.996115
2023-05-22,0.996155
2023-05-23,0.996167
2023-05-24,0.996118
2023-05-25,0.996017
2023-05-26,0.995876
2023-05-27,0.995705
2023-05-28,0.995516
2023-05-29,0.995319
2023-05-30,0.995124
2023-05-31,0.994943
2023-06-01,0.994786
2023-06-02,0.994664
2023-06-03,0.994588
2023-06-04,0.994569
2023-06-05,0.994617
2023-06-06,0.994679
2023-06-07,0.9947
2023-06-08,0.994687
2023-06-09,0.994647
2023-06-10,0.994587
2023-06-11,0.994515
2023-06-12,0.994438
2023-06-13,0.994362
2023-06-14,0.994297
2023-06-15,0.994247
2023-06-16,0.994222
2023-06-17,0.994227
2023-06-18,0.994271
2023-06-19,0.99436
2023-06-20,0.994465
2023-06-21,0.994551
2023-06-22,0.994622
2023-06-23,0.99468
2023-06-24,0.994728
2023-06-25,0.994767
2023-06-26,0.994802
2023-06-27,0.994835
2023-06-28,0.994868
2023-06-29,0.994904
2023-06-30,0.994945
2023-07-01,0.994995
2023-07-02,0.995055
2023-07-03,0.995129
2023-07-04,0.995177
2023-07-05,0.995161
2023-07-06,0.995094
2023-07-07,0.994984
2023-07-08,0.994844
2023-07-09,0.994681
2023-07-10,0.994508
2023-07-11,0.994334
2023-07-12,0.994169
2023-07-13,0.994024
2023-07-14,0.993909
2023-07-15,0.993835
2023-07-16,0.993811
2023-07-17,0.993848
2023-07-18,0.993868
2023-07-19,0.993797
2023-07-20,0.99365
2023-07-21,0.99344
2023-07-22,0.993181
2023-07-23,0.992889
2023-07-24,0.992576
2023-07-25,0.992258
2023-07-26,0.991949
2023-07-27,0.991662
2023-07-28,0.991412
2023-07-29,0.991214
2023-07-30,0.991081
2023-07-31,0.991028
2023-08-01,0.991011
2023-08-02,0.99098
2023-08-03,0.990936
2023-08-04,0.990881
2023-08-05,0.990818
2023-08-06,0.99075
2023-08-07,0.990678
2023-08-08,0.990604
2023-08-09,0.990531
2023-08-10,0.990462
2023-08-11,0.990397
2023-08-12,0.990341
2023-08-13,0.990294
2023-08-14,0.990259
2023-08-15,0.990265
2023-08-16,0.990333
2023-08-17,0.990454
2023-08-18,0.99062
2023-08-19,0.990822
2023-08-20,0.991051
2023-08-21,0.991299
2023-08-22,0.991557
2023-08-23,0.991816
2023-08-24,0.992067
2023-08-25,0.992302
2023-08-26,0.992512
2023-08-27,0.992688
2023-08-28,0.992822
2023-08-29,0.992924
2023-08-30,0.99301
