,delta
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,4e-06
2020-12-23,1.4e-05
2020-12-24,3e-05
2020-12-25,5.1e-05
2020-12-26,7.5e-05
2020-12-27,0.000101
2020-12-28,0.000128
2020-12-29,0.000155
2020-12-30,0.000182
2020-12-31,0.000206
2021-01-01,0.000226
2021-01-02,0.000242
2021-01-03,0.000253
2021-01-04,0.000256
2021-01-05,0.000256
2021-01-06,0.000256
2021-01-07,0.000256
2021-01-08,0.000256
2021-01-09,0.000256
2021-01-10,0.000256
2021-01-11,0.000256
2021-01-12,0.000256
2021-01-13,0.000256
2021-01-14,0.000256
2021-01-15,0.000256
2021-01-16,0.000256
2021-01-17,0.000256
2021-01-18,0.000256
2021-01-19,0.00026
2021-01-20,0.000271
2021-01-21,0.000287
2021-01-22,0.000307
2021-01-23,0.000331
2021-01-24,0.000357
2021-01-25,0.000385
2021-01-26,0.000412
2021-01-27,0.000438
2021-01-28,0.000462
2021-01-29,0.000482
2021-01-30,0.000498
2021-01-31,0.000509
2021-02-01,0.000513
2021-02-02,0.000505
2021-02-03,0.000484
2021-02-04,0.000452
2021-02-05,0.000411
2021-02-06,0.000363
2021-02-07,0.000311
2021-02-08,0.000256
2021-02-09,0.000202
2021-02-10,0.000149
2021-02-11,0.000102
2021-02-12,6.1e-05
2021-02-13,2.8e-05
2021-02-14,7e-06
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,5e-06
2021-03-17,1.8e-05
2021-03-18,3.8e-05
2021-03-19,6.6e-05
2021-03-20,9.9e-05
2021-03-21,0.000137
2021-03-22,0.000179
2021-03-23,0.000225
2021-03-24,0.000272
2021-03-25,0.000321
2021-03-26,0.000371
2021-03-27,0.00042
2021-03-28,0.000467
2021-03-29,0.000513
2021-03-30,0.000555
2021-03-31,0.000596
2021-04-01,0.000636
2021-04-02,0.000675
2021-04-03,0.000716
2021-04-04,0.000759
2021-04-05,0.000804
2021-04-06,0.000853
2021-04-07,0.000907
2021-04-08,0.000967
2021-04-09,0.001033
2021-04-10,0.001107
2021-04-11,0.00119
2021-04-12,0.001282
2021-04-13,0.001415
2021-04-14,0.001616
2021-04-15,0.001878
2021-04-16,0.002197
2021-04-17,0.002566
2021-04-18,0.00298
2021-04-19,0.003432
2021-04-20,0.003916
2021-04-21,0.004427
2021-04-22,0.004959
2021-04-23,0.005506
2021-04-24,0.006062
2021-04-25,0.006621
2021-04-26,0.007178
2021-04-27,0.007748
2021-04-28,0.008353
2021-04-29,0.008993
2021-04-30,0.009669
2021-05-01,0.010381
2021-05-02,0.011128
2021-05-03,0.011913
2021-05-04,0.012734
2021-05-05,0.013592
2021-05-06,0.014488
2021-05-07,0.015423
2021-05-08,0.016395
2021-05-09,0.017406
2021-05-10,0.018457
2021-05-11,0.019531
2021-05-12,0.020625
2021-05-13,0.021753
2021-05-14,0.02293
2021-05-15,0.024171
2021-05-16,0.025493
2021-05-17,0.026909
2021-05-18,0.028436
2021-05-19,0.030088
2021-05-20,0.03188
2021-05-21,0.033828
2021-05-22,0.035947
2021-05-23,0.038252
2021-05-24,0.040759
2021-05-25,0.043811
2021-05-26,0.047708
2021-05-27,0.052402
2021-05-28,0.057841
2021-05-29,0.063977
2021-05-30,0.070758
2021-05-31,0.078136
2021-06-01,0.08606
2021-06-02,0.094479
2021-06-03,0.103345
2021-06-04,0.112607
2021-06-05,0.122216
2021-06-06,0.13212
2021-06-07,0.142271
2021-06-08,0.153365
2021-06-09,0.166033
2021-06-10,0.18013
2021-06-11,0.195508
2021-06-12,0.212022
2021-06-13,0.229526
2021-06-14,0.247872
2021-06-15,0.266914
2021-06-16,0.286507
2021-06-17,0.306502
2021-06-18,0.326755
2021-06-19,0.347119
2021-06-20,0.367447
2021-06-21,0.387593
2021-06-22,0.408442
2021-06-23,0.430791
2021-06-24,0.454359
2021-06-25,0.478866
2021-06-26,0.504032
2021-06-27,0.529576
2021-06-28,0.555219
2021-06-29,0.580679
2021-06-30,0.605677
2021-07-01,0.629932
2021-07-02,0.653164
2021-07-03,0.675093
2021-07-04,0.695438
2021-07-05,0.71392
2021-07-06,0.73136
2021-07-07,0.748696
2021-07-08,0.765821
2021-07-09,0.782625
2021-07-10,0.799001
2021-07-11,0.81484
2021-07-12,0.830035
2021-07-13,0.844476
2021-07-14,0.858057
2021-07-15,0.870668
2021-07-16,0.882201
2021-07-17,0.892549
2021-07-18,0.901603
2021-07-19,0.909254
2021-07-20,0.91603
2021-07-21,0.922521
2021-07-22,0.928714
2021-07-23,0.934596
2021-07-24,0.940156
2021-07-25,0.94538
2021-07-26,0.950257
2021-07-27,0.954773
2021-07-28,0.958916
2021-07-29,0.962674
2021-07-30,0.966033
2021-07-31,0.968982
2021-08-01,0.971507
2021-08-02,0.973597
2021-08-03,0.975413
2021-08-04,0.977129
2021-08-05,0.978744
2021-08-06,0.980259
2021-08-07,0.981674
2021-08-08,0.98299
2021-08-09,0.984207
2021-08-10,0.985326
2021-08-11,0.986347
2021-08-12,0.987271
2021-08-13,0.988098
2021-08-14,0.988828
2021-08-15,0.989463
2021-08-16,0.990003
2021-08-17,0.990472
2021-08-18,0.990901
2021-08-19,0.991292
2021-08-20,0.99165
2021-08-21,0.99198
2021-08-22,0.992285
2021-08-23,0.99257
2021-08-24,0.992839
2021-08-25,0.993097
2021-08-26,0.993347
2021-08-27,0.993595
2021-08-28,0.993843
2021-08-29,0.994097
2021-08-30,0.99436
2021-08-31,0.994642
2021-09-01,0.994941
2021-09-02,0.995254
2021-09-03,0.995572
2021-09-04,0.995889
2021-09-05,0.996201
2021-09-06,0.996499
2021-09-07,0.996778
2021-09-08,0.997031
2021-09-09,0.997252
2021-09-10,0.997436
2021-09-11,0.997574
2021-09-12,0.997662
2021-09-13,0.997693
2021-09-14,0.997682
2021-09-15,0.99765
2021-09-16,0.997602
2021-09-17,0.99754
2021-09-18,0.997469
2021-09-19,0.99739
2021-09-20,0.997308
2021-09-21,0.997227
2021-09-22,0.997148
2021-09-23,0.997076
2021-09-24,0.997015
2021-09-25,0.996966
2021-09-26,0.996935
2021-09-27,0.996924
2021-09-28,0.996939
2021-09-29,0.996981
2021-09-30,0.997045
2021-10-01,0.997127
2021-10-02,0.997223
2021-10-03,0.997327
2021-10-04,0.997437
2021-10-05,0.997546
2021-10-06,0.99765
2021-10-07,0.997746
2021-10-08,0.997828
2021-10-09,0.997892
2021-10-10,0.997934
2021-10-11,0.997949
2021-10-12,0.997949
2021-10-13,0.997949
2021-10-14,0.997949
2021-10-15,0.997949
2021-10-16,0.997949
2021-10-17,0.997949
2021-10-18,0.997949
2021-10-19,0.997949
2021-10-20,0.997949
2021-10-21,0.997949
2021-10-22,0.997949
2021-10-23,0.997949
2021-10-24,0.997949
2021-10-25,0.997949
2021-10-26,0.997946
2021-10-27,0.997936
2021-10-28,0.997919
2021-10-29,0.997897
2021-10-30,0.997869
2021-10-31,0.997836
2021-11-01,0.997798
2021-11-02,0.997756
2021-11-03,0.99771
2021-11-04,0.99766
2021-11-05,0.997608
2021-11-06,0.997553
2021-11-07,0.997496
2021-11-08,0.997437
2021-11-09,0.997361
2021-11-10,0.997256
2021-11-11,0.997126
2021-11-12,0.996975
2021-11-13,0.996806
2021-11-14,0.996623
2021-11-15,0.99643
2021-11-16,0.996232
2021-11-17,0.996031
2021-11-18,0.995832
2021-11-19,0.995639
2021-11-20,0.995454
2021-11-21,0.995283
2021-11-22,0.995129
2021-11-23,0.994996
2021-11-24,0.994881
2021-11-25,0.994779
2021-11-26,0.994687
2021-11-27,0.9946
2021-11-28,0.994515
2021-11-29,0.994425
2021-11-30,0.994328
2021-12-01,0.994219
2021-12-02,0.994092
2021-12-03,0.993945
2021-12-04,0.993773
2021-12-05,0.993571
2021-12-06,0.993335
2021-12-07,0.991174
2021-12-08,0.985405
2021-12-09,0.976337
2021-12-10,0.964278
2021-12-11,0.949536
2021-12-12,0.93242
2021-12-13,0.913237
2021-12-14,0.892296
2021-12-15,0.869904
2021-12-16,0.846372
2021-12-17,0.822005
2021-12-18,0.797114
2021-12-19,0.772005
2021-12-20,0.746988
2021-12-21,0.717871
2021-12-22,0.681182
2021-12-23,0.638302
2021-12-24,0.590614
2021-12-25,0.539502
2021-12-26,0.486347
2021-12-27,0.432534
2021-12-28,0.379445
2021-12-29,0.328462
2021-12-30,0.280969
2021-12-31,0.238349
2022-01-01,0.201983
2022-01-02,0.173256
2022-01-03,0.15355
2022-01-04,0.139205
2022-01-05,0.125646
2022-01-06,0.112886
2022-01-07,0.100937
2022-01-08,0.089811
2022-01-09,0.079519
2022-01-10,0.070075
2022-01-11,0.061491
2022-01-12,0.053778
2022-01-13,0.046948
2022-01-14,0.041015
2022-01-15,0.035989
2022-01-16,0.031884
2022-01-17,0.028711
2022-01-18,0.026088
2022-01-19,0.023624
2022-01-20,0.021321
2022-01-21,0.019177
2022-01-22,0.017191
2022-01-23,0.015364
2022-01-24,0.013695
2022-01-25,0.012184
2022-01-26,0.01083
2022-01-27,0.009633
2022-01-28,0.008593
2022-01-29,0.007709
2022-01-30,0.006981
2022-01-31,0.006409
2022-02-01,0.005931
2022-02-02,0.005488
2022-02-03,0.005078
2022-02-04,0.004699
2022-02-05,0.00435
2022-02-06,0.00403
2022-02-07,0.003736
2022-02-08,0.003468
2022-02-09,0.003223
2022-02-10,0.003001
2022-02-11,0.0028
2022-02-12,0.002618
2022-02-13,0.002454
2022-02-14,0.002307
2022-02-15,0.002168
2022-02-16,0.002031
2022-02-17,0.001897
2022-02-18,0.001768
2022-02-19,0.001645
2022-02-20,0.001529
2022-02-21,0.001422
2022-02-22,0.001325
2022-02-23,0.001239
2022-02-24,0.001166
2022-02-25,0.001106
2022-02-26,0.001062
2022-02-27,0.001035
2022-02-28,0.001025
2022-03-01,0.001025
2022-03-02,0.001025
2022-03-03,0.001025
2022-03-04,0.001025
2022-03-05,0.001025
2022-03-06,0.001025
2022-03-07,0.001025
2022-03-08,0.001025
2022-03-09,0.001025
2022-03-10,0.001025
2022-03-11,0.001025
2022-03-12,0.001025
2022-03-13,0.001025
2022-03-14,0.001025
2022-03-15,0.001023
2022-03-16,0.001017
2022-03-17,0.001007
2022-03-18,0.000994
2022-03-19,0.000979
2022-03-20,0.00096
2022-03-21,0.00094
2022-03-22,0.000918
2022-03-23,0.000894
2022-03-24,0.00087
2022-03-25,0.000845
2022-03-26,0.000819
2022-03-27,0.000794
2022-03-28,0.000769
2022-03-29,0.000742
2022-03-30,0.000711
2022-03-31,0.000676
2022-04-01,0.000637
2022-04-02,0.000597
2022-04-03,0.000555
2022-04-04,0.000513
2022-04-05,0.00047
2022-04-06,0.000428
2022-04-07,0.000388
2022-04-08,0.00035
2022-04-09,0.000315
2022-04-10,0.000283
2022-04-11,0.000256
2022-04-12,0.000232
2022-04-13,0.000206
2022-04-14,0.000181
2022-04-15,0.000156
2022-04-16,0.000131
2022-04-17,0.000108
2022-04-18,8.5e-05
2022-04-19,6.5e-05
2022-04-20,4.7e-05
2022-04-21,3.1e-05
2022-04-22,1.8e-05
2022-04-23,8e-06
2022-04-24,2e-06
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.0
2022-08-11,0.0
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-10,0.0
2022-09-11,0.0
2022-09-12,0.0
2022-09-13,0.0
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,0.0
2022-09-17,0.0
2022-09-18,0.0
2022-09-19,0.0
2022-09-20,0.0
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,4e-06
2022-09-28,1.4e-05
2022-09-29,3e-05
2022-09-30,5.1e-05
2022-10-01,7.5e-05
2022-10-02,0.000101
2022-10-03,0.000128
2022-10-04,0.000155
2022-10-05,0.000182
2022-10-06,0.000206
2022-10-07,0.000226
2022-10-08,0.000242
2022-10-09,0.000253
2022-10-10,0.000256
2022-10-11,0.000253
2022-10-12,0.000242
2022-10-13,0.000226
2022-10-14,0.000206
2022-10-15,0.000182
2022-10-16,0.000155
2022-10-17,0.000128
2022-10-18,0.000101
2022-10-19,7.5e-05
2022-10-20,5.1e-05
2022-10-21,3e-05
2022-10-22,1.4e-05
2022-10-23,4e-06
2022-10-24,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,0.0
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,0.0
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,0.0
2022-11-26,0.0
2022-11-27,0.0
2022-11-28,0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-03,0.0
2022-12-04,0.0
2022-12-05,0.0
2022-12-06,0.0
2022-12-07,0.0
2022-12-08,0.0
2022-12-09,0.0
2022-12-10,0.0
2022-12-11,0.0
2022-12-12,0.0
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.0
2022-12-17,0.0
2022-12-18,0.0
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,0.0
2022-12-23,0.0
2022-12-24,0.0
2022-12-25,0.0
2022-12-26,0.0
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2022-12-31,0.0
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-28,0.0
2023-01-29,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,0.0
2023-02-04,0.0
2023-02-05,0.0
2023-02-06,0.0
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,0.0
2023-02-17,0.0
2023-02-18,0.0
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,0.0
2023-02-24,0.0
2023-02-25,0.0
2023-02-26,0.0
2023-02-27,0.0
2023-02-28,0.0
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,0.0
2023-03-07,0.0
2023-03-08,0.0
2023-03-09,0.0
2023-03-10,0.0
2023-03-11,0.0
2023-03-12,0.0
2023-03-13,0.0
2023-03-14,0.0
2023-03-15,0.0
2023-03-16,0.0
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,0.0
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,0.0
2023-03-25,0.0
2023-03-26,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,0.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,0.0
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-29,0.0
2023-07-30,0.0
2023-07-31,0.0
2023-08-01,0.0
2023-08-02,0.0
2023-08-03,0.0
2023-08-04,0.0
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
