,variant_p2
2020-10-30,0.0003
2020-10-31,0.0004
2020-11-01,0.0004
2020-11-02,0.0004
2020-11-03,0.0004
2020-11-04,0.0005
2020-11-05,0.0005
2020-11-06,0.0005
2020-11-07,0.0005
2020-11-08,0.0005
2020-11-09,0.0005
2020-11-10,0.0005
2020-11-11,0.0005
2020-11-12,0.0005
2020-11-13,0.0005
2020-11-14,0.0004
2020-11-15,0.0004
2020-11-16,0.0004
2020-11-17,0.0004
2020-11-18,0.0003
2020-11-19,0.0003
2020-11-20,0.0003
2020-11-21,0.0003
2020-11-22,0.0003
2020-11-23,0.0003
2020-11-24,0.0003
2020-11-25,0.0003
2020-11-26,0.0003
2020-11-27,0.0003
2020-11-28,0.0003
2020-11-29,0.0003
2020-11-30,0.0003
2020-12-01,0.0003
2020-12-02,0.0003
2020-12-03,0.0003
2020-12-04,0.0003
2020-12-05,0.0003
2020-12-06,0.0003
2020-12-07,0.0003
2020-12-08,0.0003
2020-12-09,0.0003
2020-12-10,0.0003
2020-12-11,0.0003
2020-12-12,0.0003
2020-12-13,0.0003
2020-12-14,0.0003
2020-12-15,0.0003
2020-12-16,0.0004
2020-12-17,0.0004
2020-12-18,0.0004
2020-12-19,0.0004
2020-12-20,0.0005
2020-12-21,0.0005
2020-12-22,0.0006
2020-12-23,0.0009
2020-12-24,0.0012
2020-12-25,0.0016
2020-12-26,0.0022
2020-12-27,0.0027
2020-12-28,0.0034
2020-12-29,0.004
2020-12-30,0.0047
2020-12-31,0.0053
2021-01-01,0.0059
2021-01-02,0.0065
2021-01-03,0.007
2021-01-04,0.0074
2021-01-05,0.0078
2021-01-06,0.0081
2021-01-07,0.0084
2021-01-08,0.0087
2021-01-09,0.0089
2021-01-10,0.0092
2021-01-11,0.0094
2021-01-12,0.0096
2021-01-13,0.0099
2021-01-14,0.0102
2021-01-15,0.0105
2021-01-16,0.0109
2021-01-17,0.0113
2021-01-18,0.0118
2021-01-19,0.0124
2021-01-20,0.0132
2021-01-21,0.0141
2021-01-22,0.0152
2021-01-23,0.0164
2021-01-24,0.0177
2021-01-25,0.0191
2021-01-26,0.0206
2021-01-27,0.0223
2021-01-28,0.0239
2021-01-29,0.0257
2021-01-30,0.0274
2021-01-31,0.0292
2021-02-01,0.031
2021-02-02,0.0329
2021-02-03,0.0348
2021-02-04,0.0369
2021-02-05,0.0391
2021-02-06,0.0414
2021-02-07,0.0438
2021-02-08,0.0463
2021-02-09,0.049
2021-02-10,0.0518
2021-02-11,0.0548
2021-02-12,0.0579
2021-02-13,0.0612
2021-02-14,0.0646
2021-02-15,0.0682
2021-02-16,0.0721
2021-02-17,0.0765
2021-02-18,0.0812
2021-02-19,0.0864
2021-02-20,0.0919
2021-02-21,0.0977
2021-02-22,0.1038
2021-02-23,0.1102
2021-02-24,0.1168
2021-02-25,0.1236
2021-02-26,0.1306
2021-02-27,0.1377
2021-02-28,0.145
2021-03-01,0.1523
2021-03-02,0.1598
2021-03-03,0.1677
2021-03-04,0.1759
2021-03-05,0.1844
2021-03-06,0.1933
2021-03-07,0.2024
2021-03-08,0.2118
2021-03-09,0.2215
2021-03-10,0.2314
2021-03-11,0.2415
2021-03-12,0.2519
2021-03-13,0.2624
2021-03-14,0.2732
2021-03-15,0.284
2021-03-16,0.2954
2021-03-17,0.3074
2021-03-18,0.3201
2021-03-19,0.3333
2021-03-20,0.3468
2021-03-21,0.3607
2021-03-22,0.3746
2021-03-23,0.3886
2021-03-24,0.4026
2021-03-25,0.4164
2021-03-26,0.4298
2021-03-27,0.4429
2021-03-28,0.4554
2021-03-29,0.4673
2021-03-30,0.479
2021-03-31,0.4786
2021-04-01,0.465
2021-04-02,0.4515
2021-04-03,0.438
2021-04-04,0.4247
2021-04-05,0.4116
2021-04-06,0.3989
2021-04-07,0.3866
2021-04-08,0.3747
2021-04-09,0.3635
2021-04-10,0.353
2021-04-11,0.3432
2021-04-12,0.3343
2021-04-13,0.326
2021-04-14,0.3182
2021-04-15,0.3108
2021-04-16,0.3037
2021-04-17,0.2969
2021-04-18,0.2904
2021-04-19,0.2841
2021-04-20,0.278
2021-04-21,0.2721
2021-04-22,0.2663
2021-04-23,0.2606
2021-04-24,0.2549
2021-04-25,0.2492
2021-04-26,0.2435
2021-04-27,0.2377
2021-04-28,0.2317
2021-04-29,0.2256
2021-04-30,0.2194
2021-05-01,0.2133
2021-05-02,0.2073
2021-05-03,0.2015
2021-05-04,0.1959
2021-05-05,0.1907
2021-05-06,0.1858
2021-05-07,0.1814
2021-05-08,0.1776
2021-05-09,0.1743
2021-05-10,0.1718
2021-05-11,0.1697
2021-05-12,0.1678
2021-05-13,0.1661
2021-05-14,0.1646
2021-05-15,0.1632
2021-05-16,0.1619
2021-05-17,0.1607
2021-05-18,0.1596
2021-05-19,0.1585
2021-05-20,0.1573
2021-05-21,0.1561
2021-05-22,0.1549
2021-05-23,0.1535
2021-05-24,0.152
2021-05-25,0.1504
2021-05-26,0.1489
2021-05-27,0.1473
2021-05-28,0.1457
2021-05-29,0.1441
2021-05-30,0.1424
2021-05-31,0.1407
2021-06-01,0.139
2021-06-02,0.1372
2021-06-03,0.1354
2021-06-04,0.1335
2021-06-05,0.1315
2021-06-06,0.1321
2021-06-07,0.1423
2021-06-08,0.1534
2021-06-09,0.166
2021-06-10,0.1801
2021-06-11,0.1955
2021-06-12,0.212
2021-06-13,0.2295
2021-06-14,0.2479
2021-06-15,0.2669
2021-06-16,0.2865
2021-06-17,0.3065
2021-06-18,0.3268
2021-06-19,0.3471
2021-06-20,0.3674
2021-06-21,0.3876
2021-06-22,0.4004
2021-06-23,0.3838
2021-06-24,0.3662
2021-06-25,0.3479
2021-06-26,0.3291
2021-06-27,0.31
2021-06-28,0.2909
2021-06-29,0.272
2021-06-30,0.2536
2021-07-01,0.2358
2021-07-02,0.2188
2021-07-03,0.2031
2021-07-04,0.1887
2021-07-05,0.1759
2021-07-06,0.164
2021-07-07,0.1522
2021-07-08,0.1406
2021-07-09,0.1293
2021-07-10,0.1184
2021-07-11,0.1078
2021-07-12,0.0978
2021-07-13,0.0883
2021-07-14,0.0795
2021-07-15,0.0714
2021-07-16,0.0641
2021-07-17,0.0577
2021-07-18,0.0522
2021-07-19,0.0477
2021-07-20,0.0438
2021-07-21,0.0402
2021-07-22,0.0367
2021-07-23,0.0334
2021-07-24,0.0304
2021-07-25,0.0275
2021-07-26,0.0249
2021-07-27,0.0225
2021-07-28,0.0202
2021-07-29,0.0182
2021-07-30,0.0164
2021-07-31,0.0148
2021-08-01,0.0135
2021-08-02,0.0123
2021-08-03,0.0113
2021-08-04,0.0103
2021-08-05,0.0094
2021-08-06,0.0086
2021-08-07,0.0078
2021-08-08,0.007
2021-08-09,0.0063
2021-08-10,0.0057
2021-08-11,0.0051
2021-08-12,0.0046
2021-08-13,0.0043
2021-08-14,0.0041
2021-08-15,0.0038
2021-08-16,0.0036
2021-08-17,0.0034
2021-08-18,0.0033
2021-08-19,0.0034
2021-08-20,0.0034
2021-08-21,0.0034
2021-08-22,0.0034
2021-08-23,0.0035
2021-08-24,0.0035
2021-08-25,0.0035
2021-08-26,0.0035
2021-08-27,0.0036
2021-08-28,0.0036
2021-08-29,0.0036
2021-08-30,0.0036
2021-08-31,0.0036
2021-09-01,0.0035
2021-09-02,0.0034
2021-09-03,0.0032
2021-09-04,0.0031
2021-09-05,0.0029
2021-09-06,0.0027
2021-09-07,0.0025
2021-09-08,0.0023
2021-09-09,0.0022
2021-09-10,0.002
2021-09-11,0.0019
2021-09-12,0.0018
2021-09-13,0.0018
2021-09-14,0.0018
2021-09-15,0.0018
2021-09-16,0.0019
2021-09-17,0.0019
2021-09-18,0.002
2021-09-19,0.0021
2021-09-20,0.0022
2021-09-21,0.0023
2021-09-22,0.0023
2021-09-23,0.0024
2021-09-24,0.0025
2021-09-25,0.0025
2021-09-26,0.0026
2021-09-27,0.0026
2021-09-28,0.0026
2021-09-29,0.0025
2021-09-30,0.0025
2021-10-01,0.0024
2021-10-02,0.0023
2021-10-03,0.0023
2021-10-04,0.0022
2021-10-05,0.0021
2021-10-06,0.002
2021-10-07,0.0019
2021-10-08,0.0019
2021-10-09,0.0018
2021-10-10,0.0018
2021-10-11,0.0018
2021-10-12,0.0018
2021-10-13,0.0018
2021-10-14,0.0018
2021-10-15,0.0018
2021-10-16,0.0018
2021-10-17,0.0018
2021-10-18,0.0018
2021-10-19,0.0018
2021-10-20,0.0018
2021-10-21,0.0018
2021-10-22,0.0018
2021-10-23,0.0018
2021-10-24,0.0018
2021-10-25,0.0018
2021-10-26,0.0018
2021-10-27,0.0018
2021-10-28,0.0018
2021-10-29,0.0019
2021-10-30,0.0019
2021-10-31,0.002
2021-11-01,0.002
2021-11-02,0.0021
2021-11-03,0.0022
2021-11-04,0.0022
2021-11-05,0.0023
2021-11-06,0.0024
2021-11-07,0.0025
2021-11-08,0.0026
2021-11-09,0.0027
2021-11-10,0.0028
2021-11-11,0.003
2021-11-12,0.0031
2021-11-13,0.0033
2021-11-14,0.0035
2021-11-15,0.0037
2021-11-16,0.0039
2021-11-17,0.0041
2021-11-18,0.0043
2021-11-19,0.0044
2021-11-20,0.0045
2021-11-21,0.0046
2021-11-22,0.0046
2021-11-23,0.0046
2021-11-24,0.0044
2021-11-25,0.0042
2021-11-26,0.0039
2021-11-27,0.0036
2021-11-28,0.0033
2021-11-29,0.0029
2021-11-30,0.0025
2021-12-01,0.0026
2021-12-02,0.0031
2021-12-03,0.0036
2021-12-04,0.0042
2021-12-05,0.0049
2021-12-06,0.0056
2021-12-07,0.0082
2021-12-08,0.0143
2021-12-09,0.0236
2021-12-10,0.0358
2021-12-11,0.0505
2021-12-12,0.0676
2021-12-13,0.0867
2021-12-14,0.1075
2021-12-15,0.1298
2021-12-16,0.1532
2021-12-17,0.1774
2021-12-18,0.2022
2021-12-19,0.2272
2021-12-20,0.2522
2021-12-21,0.2814
2021-12-22,0.318
2021-12-23,0.3609
2021-12-24,0.4085
2021-12-25,0.4595
2021-12-26,0.4863
2021-12-27,0.4325
2021-12-28,0.3794
2021-12-29,0.3285
2021-12-30,0.281
2021-12-31,0.2383
2022-01-01,0.202
2022-01-02,0.1733
2022-01-03,0.1536
2022-01-04,0.1392
2022-01-05,0.1256
2022-01-06,0.1129
2022-01-07,0.1009
2022-01-08,0.0898
2022-01-09,0.0795
2022-01-10,0.0701
2022-01-11,0.0615
2022-01-12,0.0538
2022-01-13,0.0469
2022-01-14,0.041
2022-01-15,0.036
2022-01-16,0.0319
2022-01-17,0.0287
2022-01-18,0.0261
2022-01-19,0.0236
2022-01-20,0.0213
2022-01-21,0.0192
2022-01-22,0.0172
2022-01-23,0.0154
2022-01-24,0.0137
2022-01-25,0.0122
2022-01-26,0.0108
2022-01-27,0.0096
2022-01-28,0.0086
2022-01-29,0.0077
2022-01-30,0.007
2022-01-31,0.0064
2022-02-01,0.0059
2022-02-02,0.0055
2022-02-03,0.0051
2022-02-04,0.0047
2022-02-05,0.0044
2022-02-06,0.004
2022-02-07,0.0037
2022-02-08,0.0035
2022-02-09,0.0032
2022-02-10,0.003
2022-02-11,0.0028
2022-02-12,0.0026
2022-02-13,0.0025
2022-02-14,0.0023
2022-02-15,0.0022
2022-02-16,0.002
2022-02-17,0.0019
2022-02-18,0.0018
2022-02-19,0.0016
2022-02-20,0.0015
2022-02-21,0.0014
2022-02-22,0.0013
2022-02-23,0.0012
2022-02-24,0.0012
2022-02-25,0.0011
2022-02-26,0.0011
2022-02-27,0.001
2022-02-28,0.001
2022-03-01,0.0011
2022-03-02,0.0012
2022-03-03,0.0013
2022-03-04,0.0014
2022-03-05,0.0015
2022-03-06,0.0017
2022-03-07,0.0018
2022-03-08,0.0019
2022-03-09,0.002
2022-03-10,0.0021
2022-03-11,0.0022
2022-03-12,0.0023
2022-03-13,0.0023
2022-03-14,0.0023
2022-03-15,0.0023
2022-03-16,0.0023
2022-03-17,0.0023
2022-03-18,0.0023
2022-03-19,0.0023
2022-03-20,0.0023
2022-03-21,0.0023
2022-03-22,0.0023
2022-03-23,0.0023
2022-03-24,0.0023
2022-03-25,0.0023
2022-03-26,0.0023
2022-03-27,0.0023
2022-03-28,0.0023
2022-03-29,0.0023
2022-03-30,0.0024
2022-03-31,0.0024
2022-04-01,0.0025
2022-04-02,0.0026
2022-04-03,0.0027
2022-04-04,0.0028
2022-04-05,0.0029
2022-04-06,0.003
2022-04-07,0.0031
2022-04-08,0.0033
2022-04-09,0.0034
2022-04-10,0.0035
2022-04-11,0.0036
2022-04-12,0.0037
2022-04-13,0.0038
2022-04-14,0.0039
2022-04-15,0.004
2022-04-16,0.0042
2022-04-17,0.0043
2022-04-18,0.0044
2022-04-19,0.0045
2022-04-20,0.0046
2022-04-21,0.0047
2022-04-22,0.0048
2022-04-23,0.0048
2022-04-24,0.0049
2022-04-25,0.0049
2022-04-26,0.0049
2022-04-27,0.0049
2022-04-28,0.0048
2022-04-29,0.0048
2022-04-30,0.0048
2022-05-01,0.0048
2022-05-02,0.0047
2022-05-03,0.0047
2022-05-04,0.0047
2022-05-05,0.0047
2022-05-06,0.0046
2022-05-07,0.0046
2022-05-08,0.0046
2022-05-09,0.0046
2022-05-10,0.0046
2022-05-11,0.0046
2022-05-12,0.0047
2022-05-13,0.0047
2022-05-14,0.0048
2022-05-15,0.0048
2022-05-16,0.0049
2022-05-17,0.0049
2022-05-18,0.005
2022-05-19,0.005
2022-05-20,0.0051
2022-05-21,0.0051
2022-05-22,0.0051
2022-05-23,0.0051
2022-05-24,0.0051
2022-05-25,0.0051
2022-05-26,0.005
2022-05-27,0.0049
2022-05-28,0.0049
2022-05-29,0.0048
2022-05-30,0.0046
2022-05-31,0.0045
2022-06-01,0.0044
2022-06-02,0.0043
2022-06-03,0.0042
2022-06-04,0.0041
2022-06-05,0.0039
2022-06-06,0.0038
2022-06-07,0.0038
2022-06-08,0.0037
2022-06-09,0.0036
2022-06-10,0.0035
2022-06-11,0.0034
2022-06-12,0.0033
2022-06-13,0.0032
2022-06-14,0.0031
2022-06-15,0.003
2022-06-16,0.0029
2022-06-17,0.0028
2022-06-18,0.0027
2022-06-19,0.0026
2022-06-20,0.0026
2022-06-21,0.0025
2022-06-22,0.0024
2022-06-23,0.0023
2022-06-24,0.0022
2022-06-25,0.0021
2022-06-26,0.002
2022-06-27,0.002
2022-06-28,0.0019
2022-06-29,0.0018
2022-06-30,0.0017
2022-07-01,0.0017
2022-07-02,0.0016
2022-07-03,0.0016
2022-07-04,0.0015
2022-07-05,0.0015
2022-07-06,0.0015
2022-07-07,0.0015
2022-07-08,0.0014
2022-07-09,0.0014
2022-07-10,0.0014
2022-07-11,0.0014
2022-07-12,0.0013
2022-07-13,0.0013
2022-07-14,0.0013
2022-07-15,0.0013
2022-07-16,0.0013
2022-07-17,0.0013
2022-07-18,0.0013
2022-07-19,0.0013
2022-07-20,0.0013
2022-07-21,0.0013
2022-07-22,0.0013
2022-07-23,0.0013
2022-07-24,0.0013
2022-07-25,0.0013
2022-07-26,0.0013
2022-07-27,0.0013
2022-07-28,0.0013
2022-07-29,0.0013
2022-07-30,0.0013
2022-07-31,0.0013
2022-08-01,0.0013
2022-08-02,0.0013
2022-08-03,0.0013
2022-08-04,0.0013
2022-08-05,0.0013
2022-08-06,0.0013
2022-08-07,0.0013
2022-08-08,0.0013
2022-08-09,0.0013
2022-08-10,0.0013
2022-08-11,0.0013
2022-08-12,0.0013
2022-08-13,0.0013
2022-08-14,0.0013
2022-08-15,0.0013
2022-08-16,0.0013
2022-08-17,0.0013
2022-08-18,0.0013
2022-08-19,0.0013
2022-08-20,0.0013
2022-08-21,0.0013
2022-08-22,0.0014
2022-08-23,0.0014
2022-08-24,0.0014
2022-08-25,0.0014
2022-08-26,0.0015
2022-08-27,0.0015
2022-08-28,0.0015
2022-08-29,0.0015
2022-08-30,0.0016
2022-08-31,0.0016
2022-09-01,0.0016
2022-09-02,0.0017
2022-09-03,0.0017
2022-09-04,0.0018
2022-09-05,0.0018
2022-09-06,0.0019
2022-09-07,0.0019
2022-09-08,0.0021
2022-09-09,0.0023
2022-09-10,0.0026
2022-09-11,0.0028
2022-09-12,0.0031
2022-09-13,0.0034
2022-09-14,0.0038
2022-09-15,0.0042
2022-09-16,0.0048
2022-09-17,0.0054
2022-09-18,0.006
2022-09-19,0.0068
2022-09-20,0.0076
2022-09-21,0.0084
2022-09-22,0.0093
2022-09-23,0.0103
2022-09-24,0.0114
2022-09-25,0.0124
2022-09-26,0.0136
2022-09-27,0.0149
2022-09-28,0.0165
2022-09-29,0.0183
2022-09-30,0.0204
2022-10-01,0.0226
2022-10-02,0.0251
2022-10-03,0.0278
2022-10-04,0.0306
2022-10-05,0.0336
2022-10-06,0.0367
2022-10-07,0.04
2022-10-08,0.0433
2022-10-09,0.0467
2022-10-10,0.0502
2022-10-11,0.0539
2022-10-12,0.0579
2022-10-13,0.0622
2022-10-14,0.0668
2022-10-15,0.0716
2022-10-16,0.0767
2022-10-17,0.0821
2022-10-18,0.0877
2022-10-19,0.0936
2022-10-20,0.0996
2022-10-21,0.1059
2022-10-22,0.1124
2022-10-23,0.119
2022-10-24,0.1259
2022-10-25,0.1331
2022-10-26,0.141
2022-10-27,0.1494
2022-10-28,0.1583
2022-10-29,0.1676
2022-10-30,0.1773
2022-10-31,0.1873
2022-11-01,0.1975
2022-11-02,0.208
2022-11-03,0.2186
2022-11-04,0.2292
2022-11-05,0.2399
2022-11-06,0.2505
2022-11-07,0.261
2022-11-08,0.2716
2022-11-09,0.2826
2022-11-10,0.2938
2022-11-11,0.3054
2022-11-12,0.317
2022-11-13,0.3288
2022-11-14,0.3407
2022-11-15,0.3525
2022-11-16,0.3643
2022-11-17,0.3759
2022-11-18,0.3873
2022-11-19,0.3984
2022-11-20,0.4092
2022-11-21,0.4196
2022-11-22,0.4299
2022-11-23,0.4402
2022-11-24,0.4506
2022-11-25,0.4609
2022-11-26,0.4712
2022-11-27,0.4755
2022-11-28,0.4638
2022-11-29,0.4524
2022-11-30,0.4411
2022-12-01,0.4302
2022-12-02,0.4195
2022-12-03,0.4092
2022-12-04,0.3992
2022-12-05,0.3896
2022-12-06,0.3804
2022-12-07,0.3713
2022-12-08,0.3623
2022-12-09,0.3536
2022-12-10,0.345
2022-12-11,0.3366
2022-12-12,0.3284
2022-12-13,0.3205
2022-12-14,0.3127
2022-12-15,0.3052
2022-12-16,0.298
2022-12-17,0.291
2022-12-18,0.2843
2022-12-19,0.2779
2022-12-20,0.2717
2022-12-21,0.2658
2022-12-22,0.2602
2022-12-23,0.2547
2022-12-24,0.2494
2022-12-25,0.2442
2022-12-26,0.2392
2022-12-27,0.2343
2022-12-28,0.2294
2022-12-29,0.2246
2022-12-30,0.2198
2022-12-31,0.215
2023-01-01,0.2102
2023-01-02,0.2053
2023-01-03,0.2004
2023-01-04,0.1956
2023-01-05,0.1909
2023-01-06,0.1861
2023-01-07,0.1889
2023-01-08,0.1999
2023-01-09,0.2115
2023-01-10,0.2237
2023-01-11,0.2363
2023-01-12,0.2492
2023-01-13,0.2624
2023-01-14,0.2757
2023-01-15,0.289
2023-01-16,0.3022
2023-01-17,0.316
2023-01-18,0.3308
2023-01-19,0.3465
2023-01-20,0.3629
2023-01-21,0.3798
2023-01-22,0.3971
2023-01-23,0.4147
2023-01-24,0.4322
2023-01-25,0.4362
2023-01-26,0.4239
2023-01-27,0.4118
2023-01-28,0.4001
2023-01-29,0.3889
2023-01-30,0.3784
2023-01-31,0.3682
2023-02-01,0.3582
2023-02-02,0.3484
2023-02-03,0.3387
2023-02-04,0.3291
2023-02-05,0.3197
2023-02-06,0.3104
2023-02-07,0.3013
2023-02-08,0.2922
2023-02-09,0.2832
2023-02-10,0.2744
2023-02-11,0.2656
2023-02-12,0.257
2023-02-13,0.2484
2023-02-14,0.2398
2023-02-15,0.2311
2023-02-16,0.2223
2023-02-17,0.2135
2023-02-18,0.2048
2023-02-19,0.1962
2023-02-20,0.1878
2023-02-21,0.1796
2023-02-22,0.1716
2023-02-23,0.164
2023-02-24,0.1567
2023-02-25,0.1499
2023-02-26,0.1435
2023-02-27,0.1377
2023-02-28,0.1322
2023-03-01,0.1269
2023-03-02,0.1218
2023-03-03,0.1168
2023-03-04,0.1121
2023-03-05,0.1075
2023-03-06,0.1031
2023-03-07,0.0989
2023-03-08,0.0949
2023-03-09,0.0911
2023-03-10,0.0874
2023-03-11,0.084
2023-03-12,0.0807
2023-03-13,0.0777
2023-03-14,0.0748
2023-03-15,0.0721
2023-03-16,0.0695
2023-03-17,0.067
2023-03-18,0.0647
2023-03-19,0.0624
2023-03-20,0.0602
2023-03-21,0.0581
2023-03-22,0.0561
2023-03-23,0.0541
2023-03-24,0.0521
2023-03-25,0.0501
2023-03-26,0.0481
2023-03-27,0.0461
2023-03-28,0.0441
2023-03-29,0.042
2023-03-30,0.0399
2023-03-31,0.0378
2023-04-01,0.0357
2023-04-02,0.0336
2023-04-03,0.0316
2023-04-04,0.0297
2023-04-05,0.0278
2023-04-06,0.0261
2023-04-07,0.0246
2023-04-08,0.0232
2023-04-09,0.022
2023-04-10,0.021
2023-04-11,0.0202
2023-04-12,0.0194
2023-04-13,0.0187
2023-04-14,0.018
2023-04-15,0.0174
2023-04-16,0.0168
2023-04-17,0.0162
2023-04-18,0.0157
2023-04-19,0.0152
2023-04-20,0.0147
2023-04-21,0.0143
2023-04-22,0.0139
2023-04-23,0.0135
2023-04-24,0.0131
2023-04-25,0.0127
2023-04-26,0.0123
2023-04-27,0.012
2023-04-28,0.0117
2023-04-29,0.0114
2023-04-30,0.0111
2023-05-01,0.0108
2023-05-02,0.0105
2023-05-03,0.0103
2023-05-04,0.01
2023-05-05,0.0097
2023-05-06,0.0097
2023-05-07,0.0097
2023-05-08,0.0097
2023-05-09,0.0097
2023-05-10,0.0097
2023-05-11,0.0097
2023-05-12,0.0097
2023-05-13,0.0097
2023-05-14,0.0096
2023-05-15,0.0096
2023-05-16,0.0096
2023-05-17,0.0096
2023-05-18,0.0095
2023-05-19,0.0095
2023-05-20,0.0095
2023-05-21,0.0095
2023-05-22,0.0095
2023-05-23,0.0095
2023-05-24,0.0095
2023-05-25,0.0096
2023-05-26,0.0096
2023-05-27,0.0097
2023-05-28,0.0098
2023-05-29,0.0106
2023-05-30,0.0114
2023-05-31,0.0123
2023-06-01,0.0133
2023-06-02,0.0142
2023-06-03,0.0152
2023-06-04,0.0162
2023-06-05,0.0172
2023-06-06,0.0182
2023-06-07,0.0194
2023-06-08,0.0206
2023-06-09,0.0218
2023-06-10,0.0232
2023-06-11,0.0245
2023-06-12,0.0259
2023-06-13,0.0273
2023-06-14,0.0288
2023-06-15,0.0302
2023-06-16,0.0316
2023-06-17,0.033
2023-06-18,0.0343
2023-06-19,0.0356
2023-06-20,0.0369
2023-06-21,0.038
2023-06-22,0.0391
2023-06-23,0.0402
2023-06-24,0.0413
2023-06-25,0.0423
2023-06-26,0.0434
2023-06-27,0.0445
2023-06-28,0.0456
2023-06-29,0.0469
2023-06-30,0.0482
2023-07-01,0.0496
2023-07-02,0.0511
2023-07-03,0.0528
2023-07-04,0.0547
2023-07-05,0.057
2023-07-06,0.0595
2023-07-07,0.0623
2023-07-08,0.0654
2023-07-09,0.0685
2023-07-10,0.0719
2023-07-11,0.0753
2023-07-12,0.0787
2023-07-13,0.0822
2023-07-14,0.0856
2023-07-15,0.089
2023-07-16,0.0923
2023-07-17,0.0954
2023-07-18,0.0984
2023-07-19,0.1014
2023-07-20,0.1044
2023-07-21,0.1073
2023-07-22,0.1103
2023-07-23,0.1133
2023-07-24,0.1163
2023-07-25,0.1193
2023-07-26,0.1222
2023-07-27,0.1252
2023-07-28,0.1283
2023-07-29,0.1313
2023-07-30,0.1343
2023-07-31,0.1374
2023-08-01,0.1405
2023-08-02,0.1435
2023-08-03,0.1466
2023-08-04,0.1496
2023-08-05,0.1527
2023-08-06,0.1558
2023-08-07,0.1589
2023-08-08,0.162
